LOCATION,X SERIAL,Y SERIAL,Z SERIAL,OT1
0.452369,-36.224066,-20.658777,9.133451,0.024744
0.502685,-40.385563,-23.090335,8.210104,0.02136
0.552881,-44.446704,-25.449232,6.783275,0.016605
0.60299,-48.393414,-27.730432,4.961659,0.014931
0.653071,-52.220026,-29.919616,2.802095,0.014873
0.702414,-56.022172,-32.031969,0.527684,0.022446
0.75195,-59.960699,-34.25004,-1.389928,0.002113
0.801842,-63.895072,-36.459267,-3.325666,0.012685
0.8519,-67.727188,-38.58931,-5.533563,0.012116
0.901526,-71.487946,-40.676902,-7.901784,0.0239
0.950752,-75.356989,-42.85757,-9.99148,0.054259
1,-79.399412,-45.208815,-11.483552,0.048929
0,0,0,0,0.036516
0.050308,-3.050455,-1.698287,3.455415,0.066601
0.101421,-6.804572,-3.743968,5.832899,0.058376
0.151818,-10.945596,-6.061472,7.10961,0.014142
0.201853,-15.141352,-8.457774,8.022498,0.008981
0.251853,-19.362264,-10.885773,8.708242,0.008824
0.301833,-23.600287,-13.334751,9.181386,0.007482
0.351858,-27.844999,-15.802427,9.453169,0.015514
0.401875,-32.079986,-18.300974,9.433124,0.002509
0.452102,-36.310247,-20.780963,9.091752,0.02183
0.502387,-40.483097,-23.214008,8.183619,0.021697
0.552563,-44.554085,-25.575856,6.763722,0.016141
0.602665,-48.508283,-27.86089,4.942722,0.016408
0.652749,-52.336395,-30.054927,2.773467,0.018132
0.70221,-56.122173,-32.169979,0.459,0.0188
0.751836,-60.055113,-34.389472,-1.487666,0.002385
0.801801,-63.983994,-36.597096,-3.455541,0.016206
0.851956,-67.806564,-38.717349,-5.706072,0.017715
0.90164,-71.558822,-40.786949,-8.118633,0.020768
0.950811,-75.428521,-42.953853,-10.238755,0.057031
1,-79.477678,-45.314204,-11.723027,0.04597
0,0,0,0,0.032873
0.050225,-3.040058,-1.708444,3.46695,0.063358
0.101079,-6.778955,-3.77345,5.862685,0.056203
0.1514,-10.915751,-6.104164,7.148632,0.013562
0.201434,-15.11311,-8.506816,8.065245,0.008939
0.251439,-19.337424,-10.938587,8.753698,0.008816
0.30143,-23.57997,-13.38969,9.22897,0.007446
0.351454,-27.830612,-15.857254,9.502722,0.015371
